perfil_id,fecha,numero,clase,lon,lat
7508,2013-09-04,7508,"Argiudoles ácuicos, franco fina.",-58.874167,-28.818056
4793,1979-10-10,I-611 C,"",-65.142222,-34.458056
6312,1977-04-01,T 34," Hapludol típico, franca fina",-61.628903,-34.278364
86,1967-03-29,11/1039 C,"Natralbol típico, limosa fina, mixta, térmica",-61.154169,-33.752778
3148,1990-11-01,Perfil 115,Calciortide típico,-70.15,-37.966667
3411,1993-01-01,3,Torriortente típico,-65.855475,-29.945069
2991,1990-11-01,Perfil 11,Palexeralfe mólico,-70.6,-37.616667
3658,1979-11-07,Cc 626,haplustoles enticos,-63.9243,-25.5431
7341,1988-06-05,23/806 C,"Hapludol lítico petrocálcico, limosa, fina, mixta, térmica",-61.226563,-37.156723
5442,1976-10-28,546,"",-66.583333,-37.216667
3233,2011-10-20,P3 C12,Hapludol tapto árgico,-58.052806,-36.091667
5455,1976-11-11,5/571,"",-67.05,-36.5
3370,1980-03-31,C 972,"",-64.2515,-25.0975
3967,1959-03-19,605/71,"",-71.483333,-41.75
459,1967-05-24,8/733 C,"Hapludol ácuico, franca gruesa, mixta, térmica",-61.471524,-34.248348
3259,1981-10-29,E8,"Cuarzipsaments ortóxico, hipertérmica",-59.340281,-25.575494
2586,1971-10-20,11-2779c,Argialbol argiácuico. franca fina. mixta. térmica,-63.1381,-32.3956
6728,1969-10-30,1/1058 C,"",-58.153284,-35.074975
6752,1970-04-28,8/1345 C,"Hapludol petrocálcico, franca fina",-58.342681,-37.803371
3863,1959-02-24,605/36,"",-69.094303,-50.182385
5348,1976-06-04,312 C,"",-65.616667,-36.433333
935,2006-01-01,935,Torrifluventes tipico,-68.833345,-33.269066
2535,1976-12-01,011-49C,Haplustol éntico. franca gruesa. mixta. térmica,-64.4678,-34.2261
3384,1992-01-01,1,Torriortente típico,-66.134117,-30.492136
7243,1974-12-05,9/3357 C,Hapludol thapto nátrico,-57.606088,-37.172575
3676,1993-10-20,III-1062C,"Torriortente típico, franco gruesa, mixta, térmica",-66.970833,-31.924167
3359,1973-06-07,1/2364 C,Natralbol típico,-58.317568,-35.583316
1036,2006-01-01,"",Torrifluventes tipico,-69.156618,-33.663154
7590,1970-06-01,25/311 C,"Flia fina, arcillosa",-58.30294,-36.942243
2379,1971-12-14,CFI 1122,"",-58.32934,-28.371695
3747,1960-05-31,661/23C,Soloth gleyzado,-60.226439,-29.559739
1187,1968-04-17,4/716 C,Natralbol típico,-60.21717,-34.92912
3712,1987-01-24,SJU/107,Torrifluvente típico,-67.4305,-31.5661
6548,1970-03-23,5/1003 C,"Argiudol típico, franca fina",-57.843081,-37.883816
4847,1993-03-15,I-853 C,"",-65.990556,-32.863611
867,1966-11-15,12/783 C,"",-60.946787,-34.649395
7411,1972-04-24,2/1307 C,"Argiudol típico, fina",-59.672782,-37.24825
3377,2016-11-15,CAL 2,"",-68.617299,-32.316395
6444,1987-03-12,IF-18C,"Udifluvent típico, franca gruesa, mixta, térmica",-64.65,-32.266667
413,1967-08-11,13/781 C,"",-59.975172,-33.52207
4563,1987-07-13,III-911C,"",-66.466389,-33.2575
5529,1976-01-01,307,"",-65.233333,-36.716667
1375,2007-11-27,Obs. 3,Acuisalide (tentativo),-62.334722,-39.457222
2609,1976-11-30,011-7C,Ustipsamment típico. arenosa. mixta. térmica,-64.4208,-34.6944
3192,1982-04-14,3192,"",-64.7138,-25.4144
5332,1999-12-10,PM2,Udortente mólico,-72.445833,-49.038611
7156,1971-08-25,7/1896 C,"Hapludol petrocálcico, franca fina",-60.32452,-36.807205
552,1967-02-17,07/09 C,"",-60.214653,-34.043219
2252,1988-07-20,VG 1116,Haplustol Tipico,-65.466667,-25.3
1007,2006-01-01,1007,Torripsamentes tipico,-68.431152,-34.562947
2734,1969-10-20,19-311C,Hapludol ácuico. limosa gruesa. mixta. térmica,-62.9292,-32.7667
2727,1979-10-19,28-2011C,Natrustol típico. limosa fina. mixta. térmica,-62.6919,-31.5728
1318,1967-10-05,5/718 C,Brunizem hidromórfico - Argiudol ácuico,-59.068765,-34.667572
1047,2006-01-01,1047,Torrifluventes tipico,-69.075235,-33.711618
671,1966-07-08,13/433 C,"",-60.221728,-34.400821
1278,1966-10-21,14/370 C,"Natralbol típico, franca fina, mixta, térmica",-59.704499,-34.990895
4477,1978-11-07,II-221C,"",-65.244167,-35.395833
352,1967-03-09,10/686 C,"",-60.715477,-33.590101
2573,1991-01-01,2573,Albacualfe típico,-60.748333,-31.473611
1163,2014-10-16,C 18,"",-69.16506,-33.83647
5502,2011-01-01,Perfil 17,"",-59.354074,-30.738545
4933,1985-10-16,III-C 858,"",-66.401667,-35.784444
443,1966-09-13,8/443 C,"",-61.078088,-34.091019
1083,2006-01-01,1083,Torripsamentes tipico,-67.730534,-34.873197
3254,2014-12-10,P1 C26,Hapludol fluvéntico,-58.191694,-31.553083
6148,0001-01-01,2980,"",-58.230699,-35.74705
1023,2006-01-01,1023,Paleortides tipico,-68.511042,-34.641681
3518,1969-10-01,1/835 C,"",-57.576249,-37.39626
7361,1972-07-25,7/2278 C,"",-60.342368,-37.128512
4533,1982-11-10,I-1002C,"",-65.306111,-32.735833
6300,1992-04-11,27,Haplacueptes aéricos,-56.1112,-28.371415
6909,1974-03-28,14/2642 C,"",-59.459204,-36.312562
4028,1966-01-01,4028,"",-58.40707,-34.901115
3894,1959-02-28,605/41,"",-70.807873,-51.980226
7443,1971-12-03,12/2410 C,"Hapludol thapto árgico, fina",-59.221128,-37.055555
1092,2006-01-01,1092,Torripsamentes tipico,-68.328038,-34.680671
5648,1982-01-01,B/201C,"",-67.754856,-34.651975
5584,1970-04-10,ER1-1C,"",-60.536256,-31.848854
1593,1981-12-18,1849,Humacueptes fluvacuénticos,-56.205875,-27.719634
3293,0001-01-01,3293,"Argialbol típico, arcillosa fina",-60.833333,-32.416667
7073,1972-12-18,99,Pelludertes típicos,-58.778847,-29.807966
7408,1972-04-25,2/1312 C,"Hapludol petrocálcico, franca fina",-59.543054,-37.314227
2391,1973-01-25,CFI 109,Argiudol acuértico,-59.494328,-30.257405
1989,2009-09-08,PR 210,Haplustalfe údico,-64.02625,-24.782944
939,2006-01-01,939,Torriortentes tipico,-68.962438,-33.132284
3974,1959-03-17,605/68,"",-71.6,-42.816667
6607,1986-11-01,9 C,"Hapludol tapto nátrico, franca fina, mixta, térmica",-62.350833,-34.531389
2628,1973-11-28,19/3 C,"Natracualf típico, fina, illítica, térmica",-60.387071,-36.108159
1452,2007-11-29,Obs. 40,Cuarzipsamente (?),-62.708889,-38.736667
6716,1990-01-01,AL 41,"Haplustol petrocálcico, franca fina, somera",-62.290717,-38.073864
969,2006-01-01,969,Torripsamentes tipico,-68.333812,-33.153464
3134,2014-06-26,P4 C23,Petrocalcide típico,-67.678583,-37.422694
63,1990-11-08,C-60,Hapludol éntico,-63.28,-35.629167
7172,1971-02-25,7/1584 C,"Hapludol thapto nátrico, franca fina",-60.150473,-36.814455
997,2006-01-01,997,Torrifluventes tipico,-69.246775,-33.538029
608,1967-05-17,12/1004 C,Hapludol cumúlico,-61.086472,-34.414857
2763,1970-08-27,7/1412 C,"Hapludol thapto nátrico, franca fina",-60.206605,-36.836636
1801,1972-11-23,CFI 113,"Natracualfes álbicos, franco fina, mixta ",-58.892133,-29.634292
6996,1972-12-08,22/1465 C,"",-60.164944,-36.446395
3823,1973-07-01,23/1353 C," Natracuol típico, fina",-58.09339,-36.082112
1153,2014-05-19,C 08,"",-69.1995,-33.795083
7355,1972-07-20,7/2270 C,"Natracuol, fina",-60.454967,-37.027609
7325,1974-04-25,12/4212 C,"Argiudol ácuico, franca fina",-58.692843,-36.863843
3454,2015-01-15,Obs 15,"",-68.549544,-31.684933
5514,2011-01-01,Perfil 29,"",-59.333511,-30.721592
538,1965-11-11,9/275 C,Brunizem,-59.654965,-34.032019
975,2006-01-01,975,Torripsamentes tipico,-68.292809,-33.236629
6999,1972-12-26,14/2183 C,Cromudert acuéntico,-57.472135,-35.360539
5736,1982-01-01,238C,"",-67.654348,-34.303267
5678,1982-01-01,B/148C,"",-67.821148,-34.634791
4464,1978-11-07,I-298C,"",-65.118611,-35.846944
5707,1982-01-01,A/338C,"",-67.676896,-34.64948
2263,1988-08-01,AC 159,Haplustol salortídico,-65.15,-28.2
3840,1990-01-01,Perfil 233,"",-70.833333,-40.15
3432,2010-01-01,C-16,"Petrocambide ústico, franca fna",-64.135864,-39.101811
1578,1994-07-26,ER1-105C,Peluderte árgico,-59.168806,-32.017275
5071,1990-11-01,M6,Vitrandepte típico,-70.983333,-36.883333
7425,1970-04-23,27/147 C,"Hapludol thapto árgico, franca fina",-58.310937,-37.044918
716,1967-04-23,9/747 C,Aluviales,-60.796478,-33.818178
2848,2010-05-18,P2b C2,Petrocalcide árgico,-67.035944,-39.029778
6869,1974-03-28,9/3049 C,"Hapludol thapto árgico, fina",-59.720048,-36.267023
1970,2009-09-04,PR 159,Haplustol éntico,-64.229389,-24.762667
3059,0001-01-01,3059,"Argiudol ácuico, arcillosa fina",-62.081667,-30.433056
6307,1992-03-25,21,"Paleacults aéricos, franco fina, mixta",-56.46705,-28.823784
3905,1991-08-01,C 23,"",-64.13,-24.44
1258,1989-11-01,C - 37,Fluvacuente típico (2014),-62.364219,-39.258958
6672,2019-07-03,2824,Paleudultes típicos,-56.594,-28.612833
3219,1990-11-01,Perfil 558,Paleargide petrocálcico,-68.45,-38.633333
1673,1972-04-21,CFI 842,"Albacualfes típicos, arcillosa fina ",-58.931917,-28.57025
1152,2014-05-19,C 07,"",-69.193139,-33.818444
1570,1982-01-23,1846,Kandiudalfes ródicos,-56.070765,-27.389752
1653,2001-07-24,ER1-120C,Cromuderte árgico,-59.879916,-32.202508
3995,1958-05-04,573/43,"",-66.75,-29.283333
4389,1987-08-12,C III-923,"",-66.537778,-33.115833
3890,1959-02-25,605/37,"",-69.5,-50.966667
